URL,Domain,Anchor
/lyrics/beatles/youregoingtolosethatgirl.html,lyrics,You're Going To Lose That Girl
/lyrics/beatles/tickettoride.html,lyrics,Ticket To Ride
/lyrics/beatles/actnaturally.html,lyrics,Act Naturally
/lyrics/beatles/itsonlylove.html,lyrics,It's Only Love
/lyrics/beatles/youlikemetoomuch.html,lyrics,You Like Me Too Much
/lyrics/beatles/tellmewhatyousee.html,lyrics,Tell Me What You See
/lyrics/beatles/ivejustseenaface.html,lyrics,I've Just Seen A Face
/lyrics/beatles/yesterday.html,lyrics,Yesterday
/lyrics/beatles/dizzymisslizzy.html,lyrics,Dizzy Miss Lizzy

album: "Rubber Soul" (1965)
/lyrics/beatles/drivemycar.html,lyrics,Drive My Car
/lyrics/beatles/norwegianwoodthisbirdhasflown.html,lyrics,Norwegian Wood (This Bird Has Flown)
/lyrics/beatles/youwontseeme.html,lyrics,You Won't See Me
/lyrics/beatles/nowhereman.html,lyrics,Nowhere Man
/lyrics/beatles/thinkforyourself.html,lyrics,Think For Yourself
/lyrics/beatles/theword.html,lyrics,The Word
/lyrics/beatles/michelle.html,lyrics,Michelle
/lyrics/beatles/whatgoeson.html,lyrics,What Goes On
/lyrics/beatles/girl.html,lyrics,Girl
/lyrics/beatles/imlookingthroughyou.html,lyrics,I'm Looking Through You
/lyrics/beatles/inmylife.html,lyrics,In My Life
/lyrics/beatles/wait.html,lyrics,Wait
/lyrics/beatles/ifineededsomeone.html,lyrics,If I Needed Someone
/lyrics/beatles/runforyourlife.html,lyrics,Run For Your Life

album: "Revolver" (1966)
/lyrics/beatles/taxman.html,lyrics,Taxman
/lyrics/beatles/eleanorrigby.html,lyrics,Eleanor Rigby
/lyrics/beatles/imonlysleeping.html,lyrics,I'm Only Sleeping
/lyrics/beatles/loveyouto.html,lyrics,Love You To
/lyrics/beatles/herethereandeverywhere.html,lyrics,"Here, There And Everywhere"
/lyrics/beatles/yellowsubmarine.html,lyrics,Yellow Submarine
/lyrics/beatles/shesaidshesaid.html,lyrics,"She Said, She Said"
/lyrics/beatles/gooddaysunshine.html,lyrics,Good Day Sunshine
/lyrics/beatles/andyourbirdcansing.html,lyrics,And Your Bird Can Sing
/lyrics/beatles/fornoone.html,lyrics,For No One
/lyrics/beatles/doctorrobert.html,lyrics,Doctor Robert
/lyrics/beatles/iwanttotellyou.html,lyrics,I Want To Tell You
/lyrics/beatles/gottogetyouintomylife.html,lyrics,Got To Get You Into My Life
/lyrics/beatles/tomorrowneverknows.html,lyrics,Tomorrow Never Knows

album: "Sgt. Pepper's Lonely Hearts Club Band" (1967)
/lyrics/beatles/sgtpepperslonelyheartsclubband.html,lyrics,Sgt. Pepper's Lonely Hearts Club Band
/lyrics/beatles/withalittlehelpfrommyfriends.html,lyrics,With A Little Help From My Friends
/lyrics/beatles/lucyintheskywithdiamonds.html,lyrics,Lucy In The Sky With Diamonds
/lyrics/beatles/gettingbetter.html,lyrics,Getting Better
/lyrics/beatles/fixingahole.html,lyrics,Fixing A Hole
/lyrics/beatles/shesleavinghome.html,lyrics,She's Leaving Home
/lyrics/beatles/beingforthebenefitofmrkite.html,lyrics,Being For The Benefit Of Mr. Kite!
/lyrics/beatles/withinyouwithoutyou.html,lyrics,Within You Without You
/lyrics/beatles/whenimsixtyfour.html,lyrics,When I'm Sixty Four
/lyrics/beatles/lovelyrita.html,lyrics,Lovely Rita
/lyrics/beatles/goodmorninggoodmorning.html,lyrics,"Good Morning, Good Morning"
/lyrics/beatles/sgtpepperslonelyheartsclubbandreprise.html,lyrics,Sgt. Pepper's Lonely Hearts Club Band (Reprise)
/lyrics/beatles/adayinthelife.html,lyrics,A Day In The Life

album: "Magical Mystery Tour" (1967)
/lyrics/beatles/magicalmysterytour.html,lyrics,Magical Mystery Tour
/lyrics/beatles/thefoolonthehill.html,lyrics,The Fool On The Hill
/lyrics/beatles/flying.html,lyrics,Flying
/lyrics/beatles/bluejayway.html,lyrics,Blue Jay Way
/lyrics/beatles/yourmothershouldknow.html,lyrics,Your Mother Should Know
/lyrics/beatles/iamthewalrus.html,lyrics,I Am The Walrus
/lyrics/beatles/hellogoodbye.html,lyrics,"Hello, Goodbye"
/lyrics/beatles/strawberryfieldsforever.html,lyrics,Strawberry Fields Forever
/lyrics/beatles/pennylane.html,lyrics,Penny Lane
/lyrics/beatles/babyyourearichman.html,lyrics,"Baby, You're A Rich Man"
/lyrics/beatles/allyouneedislove.html,lyrics,All You Need Is Love

album: "The Beatles" (1968)
/lyrics/beatles/backintheussr.html,lyrics,Back In The U.S.S.R.
/lyrics/beatles/dearprudence.html,lyrics,Dear Prudence
/lyrics/beatles/glassonion.html,lyrics,Glass Onion
/lyrics/beatles/obladioblada.html,lyrics,"Ob-La-Di, Ob-La-Da"
/lyrics/beatles/wildhoneypie.html,lyrics,Wild Honey Pie
/lyrics/beatles/thecontinuingstoryofbungalowbill.html,lyrics,The Continuing Story Of Bungalow Bill
/lyrics/beatles/whilemyguitargentlyweeps.html,lyrics,While My Guitar Gently Weeps
/lyrics/beatles/happinessisawarmgun.html,lyrics,Happiness Is A Warm Gun
/lyrics/beatles/marthamydear.html,lyrics,Martha My Dear
/lyrics/beatles/imsotired.html,lyrics,I'm So Tired
/lyrics/beatles/blackbird.html,lyrics,Blackbird
/lyrics/beatles/piggies.html,lyrics,Piggies
/lyrics/beatles/rockyraccoon.html,lyrics,Rocky Raccoon
/lyrics/beatles/dontpassmeby.html,lyrics,Don't Pass Me By
/lyrics/beatles/whydontwedoitintheroad.html,lyrics,Why Don't We Do It In The Road?
/lyrics/beatles/iwill.html,lyrics,I Will
/lyrics/beatles/julia.html,lyrics,Julia
/lyrics/beatles/birthday.html,lyrics,Birthday
/lyrics/beatles/yerblues.html,lyrics,Yer Blues
/lyrics/beatles/mothernaturesson.html,lyrics,Mother Nature's Son
/lyrics/beatles/everybodysgotsomethingtohideexceptmeandmymonkey.html,lyrics,Everybody's Got Something To Hide Except Me And My Monkey
/lyrics/beatles/sexysadie.html,lyrics,Sexy Sadie
/lyrics/beatles/helterskelter.html,lyrics,Helter Skelter
/lyrics/beatles/longlonglong.html,lyrics,"Long, Long, Long"
/lyrics/beatles/revolution1.html,lyrics,Revolution 1
/lyrics/beatles/honeypie.html,lyrics,Honey Pie
/lyrics/beatles/savoytruffle.html,lyrics,Savoy Truffle
/lyrics/beatles/crybabycry.html,lyrics,Cry Baby Cry
/lyrics/beatles/revolution9.html,lyrics,Revolution 9
/lyrics/beatles/goodnight.html,lyrics,Good Night

album: "Yellow Submarine" (1969)
/lyrics/beatles/yellowsubmarine.html,lyrics,Yellow Submarine
/lyrics/beatles/onlyanorthernsong.html,lyrics,Only A Northern Song
/lyrics/beatles/alltogethernow.html,lyrics,All Together Now
/lyrics/beatles/heybulldog.html,lyrics,Hey Bulldog
/lyrics/beatles/itsalltoomuch.html,lyrics,It's All Too Much
/lyrics/beatles/allyouneedislove.html,lyrics,All You Need Is Love

album: "Abbey Road" (1969)
/lyrics/beatles/cometogether.html,lyrics,Come Together
/lyrics/beatles/something-abbey.html,lyrics,Something
/lyrics/beatles/maxwellssilverhammer.html,lyrics,Maxwell's Silver Hammer
/lyrics/beatles/ohdarling.html,lyrics,Oh! Darling
/lyrics/beatles/octopussgarden.html,lyrics,Octopus's Garden
/lyrics/beatles/iwantyoushessoheavy.html,lyrics,I Want You (She's So Heavy)
/lyrics/beatles/herecomesthesun.html,lyrics,Here Comes The Sun
/lyrics/beatles/because.html,lyrics,Because
/lyrics/beatles/younevergivemeyourmoney.html,lyrics,You Never Give Me Your Money
/lyrics/beatles/sunking.html,lyrics,Sun King
/lyrics/beatles/meanmrmustard.html,lyrics,Mean Mr. Mustard
/lyrics/beatles/polythenepam.html,lyrics,Polythene Pam
/lyrics/beatles/shecameinthroughthebathroomwindow.html,lyrics,She Came In Through The Bathroom Window
/lyrics/beatles/goldenslumbers.html,lyrics,Golden Slumbers
/lyrics/beatles/carrythatweight.html,lyrics,Carry That Weight
/lyrics/beatles/theend.html,lyrics,The End
/lyrics/beatles/hermajesty.html,lyrics,Her Majesty
/lyrics/beatles/thelongone.html,lyrics,The Long One

album: "Let It Be" (1970)
/lyrics/beatles/twoofus.html,lyrics,Two Of Us
/lyrics/beatles/digapony.html,lyrics,Dig A Pony
/lyrics/beatles/acrosstheuniverse.html,lyrics,Across The Universe
/lyrics/beatles/imemine.html,lyrics,I Me Mine
/lyrics/beatles/digit.html,lyrics,Dig It
/lyrics/beatles/letitbe.html,lyrics,Let It Be
/lyrics/beatles/maggiemae.html,lyrics,Maggie Mae
/lyrics/beatles/ivegotafeeling.html,lyrics,I've Got A Feeling
/lyrics/beatles/oneafter909.html,lyrics,One After 909
/lyrics/beatles/thelongandwindingroad.html,lyrics,The Long And Winding Road
/lyrics/beatles/foryoublue.html,lyrics,For You Blue
/lyrics/beatles/getback.html,lyrics,Get Back

